name,address,latitude,longitude,phone,type
Tesla 직영 사고수리센터 (용인),경기 용인시 기흥구 중부대로 14,37.26768,127.07038,080-617-1399 / 010-9894-0237,직영
Tesla 직영 사고수리센터 (동탄),경기도 화성시 경기동로 348,37.154519,127.111760,080-617-1399 / 010-9626-8237,직영
FMK (서울 강서),서울시 강서구 양천로 66길 5,37.554224,126.865152,02-6094-1200,공인
한불모터스 (서울 성동),서울시 성동구 광나루로 310,37.54785,127.06435,02-462-3008,공인
HK모터스 (서울 서초),서울특별시 서초구 성촌4길 19,37.46715,127.021999,02-579-6361,공인
와이엠서비스 한남 (서울 용산),서울 용산구 한남대로21길 23,37.533932,127.006494,02-790-1173,공인
천우 (고양 일산),경기도 고양시 일산동구 백마로 512,37.662714,126.804924,031-961-0602,공인
천우 (성남 분당),경기도 성남시 분당구 대왕판교로 316 지하 2층,37.371849,127.102143,031-715-4200,공인
자일 서비스 (안양 평촌),경기도 안양시 동안구 벌말로 40,37.391582,126.969903,031-421-6020,공인
와이엠서비스 (인천 중구),인천 중구 축항대로 291번길 10,37.450207,126.628114,032-887-3007,공인
마이스터모터스 서부 (부천),경기도 부천시 원미구 도약로 271,37.508689,126.784561,1544-2111,공인
자일 서비스 (분당),경기 성남시 분당구 대왕판교로 148,37.35688,127.10283,031-780-6502,공인
센트럴모터스 (수원),경기 수원시 권선구 정조로 336,37.242352,127.015802,031-292-1236,공인
센트럴모터스 (원주),강원도 원주시 정지길 3,37.356496,127.949279,080-868-5100,공인
협신 (부산 사상),부산 사상구 가야대로 180,35.147062,128.991154,051-311-7300,공인
협신 (부산 연제),부산 수영구 좌수영로 210번길 18,35.183579,129.115562,051-757-7310,공인
성진정비 (김해),경남 김해시 풍유동 1003-2,35.21367,128.84709,055-716-8288,공인
와이엠서비스 (대구),대구 달서구 성서4차첨단로 182,35.82919,128.518434,053-580-7040,공인
S모터스 (광주),광주광역시 광산구 어등대로 605,35.150099,126.79006,062-460-1100,공인
JS모터스 (대전),대전 동구 새울로 58,36.323955,127.460377,042-284-4974,공인
천우 (제주),제주시 연삼로 759,33.51205,126.56691,064-805-5222,공인
